Registro,Modalidad,Responsable,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Programa de remediación aprobado,x,y,Técnica,Responsable de la remediación,Proceso de tratamiento,Año de conclusión,Área de suelo remediado m²,Año de identificación,Volumen de suelo remediado m³
479,Emergencia ambiental,Pemex Refinación,Puebla,Xicotepec,"Km 035+000 poliducto de 18""-14"" Ø, Poza Rica-Cima de Togo-Azcapotzalco, localizado en el poblado de la Cuchilla",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,2616.9,3740.25,Si,-97.769,20.433,,,,,,2010,
480,Emergencia ambiental,Pemex Refinación,Hidalgo,Tula de Allende,"Km 011+200 poliducto 12""-14""-12"" Ø, Tula-Salamanca, poblado de Santa Ana Ahuehuepan",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,3038.57,10186.27,Si,-99.307,20.107,,,,,,2010,
481,Emergencia ambiental,Pemex Refinación,Puebla,Huauchinango,"Km 095+750 al 96+000 poliducto de 14""-14"" Ø Poza Rica-Cima de Togo-Refinería Tula, poblado de Venta Grande",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,37819.57,18781.04,Si,-98.098,20.134,,,,,,2010,
482,,,,,"Acceso al Pozo Escobal 107 de Pemex, en la localidad de Villa Lázaro Cárdenas",,,,,,,,,,,Biológicos,"Ingeniería Ecológica del Sureste, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,282,,282
483,Emergencia ambiental,"Transportes Especializados Cantú Segovia, S.A. de C.V.",Nuevo_León,General Bravo,"Km 120+000 autopista Monterrey-Reynosa, tramo caseta de cuota General Bravo",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Ácidos,Ácidos y bases,800,240,Si,-99.161,25.814,,,,,,2010,
484,,,,,"Km 98 autopista México-Querétaro, tramo Jilotepec-Arroyo Zarco",,,,,,,,,,,Químicos,"Ecología 2000, S.A. de C.V.",Neutralización química a un lado del sitio contaminado,2010,4013,,570
486,,,,,"Km 109+900 carretera No. 14 Hermosillo-Moctezuma, tramo Ures-Moctezuma",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2010,170,,85
487,,,,,"Km 001+400 camino nacional No. 83 Zaragoza-Victoria, tramo Zaragoza-Ciudad Victoria",,,,,,,,,,,Combinación de procesos biológicos-disposición final,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado y disposición final fuera del sitio,2010,479,,308
488,,,,,"Calle Tecoyotitla No. 412, colonia Hacienda de Guadalupe",,,,,,,,,,,Biológicos,"Corporación Ambiental de México, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2014,9900,,13010
489,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,"Presa B del Pozo Tamaulipas 222, ubicada a 0.5 kilómetros de la colonia Francisco I. Madero",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,414.54,192.96,Si,-97.898,22.421,,,,,,2010,
490,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,"Presa A del Pozo Tamaulipas 1, ubicada a 0.5 kilómetros de la colonia Francisco I. Madero",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,N.E.I.,738.34,No,-97.955,22.409,,,,,,2010,
491,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,"Presa A del Pozo Tamaulipas 161, ubicada a 0.5 kilómetros de la colonia Las Blancas",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,618.03,328.95,Si,-97.929,22.405,,,,,,2010,
492,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,"Presa A del Pozo Tamaulipas 95-D, ubicada a 1.0 kilómetro de la colonia Las Blancas por la brecha El Chocolate",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,858.89,717.41,Si,-97.938,22.436,,,,,,2010,
493,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,"Presas B y C del Pozo Tamaulipas 98, ubicada a 2.0 kilómetros de la colonia Francisco I. Madero",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,2276,1517,Si,-97.938,22.424,,,,,,2010,
495,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,"Presa A del Pozo Tamaulipas 139, ubicada a 0.2 kilómetros de la colonia Francisco I. Madero",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,N.E.I.,N.E.I.,No,-97.938,22.415,,,,,,2010,
498,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,"Presa A del Pozo Tamaulipas 514, ubicada a 2 kilómetros de la colonia Santa Amalia",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,752.055,670.26,Si,-97.941,22.444,,,,,,2010,
499,,,,,"Km 065+300 poliducto de 14""-14"" Ø Satélite-Gómez Palacio",,,,,,,,,,,Biológicos,"Grupo Ancuri, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,872,,8223
500,,,,,"Km 201+300 poliducto de 10"" Ø Satélite-Monclova-Sabinas",,,,,,,,,,,Biológicos,"Consorcio Industrial GES Saltillo, S.A. de C.V. y Consorcio GHES Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2011,1970.19,,11467
501,,,,,"Km 43+770 del derecho de vía del poliducto de 18"" Ø Cadereyta-Satélite",,,,,,,,,,,Biológicos,"Grupo Ancuri, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2011,247.27,,390.79
502,,,,,"Km 087+050 del derecho de vía del poliducto de 14"" Ø Satélite-Gómez Palacio",,,,,,,,,,,Biológicos,"Consorcio Industrial GES Saltillo, S.A. de C.V. y Consorcio GHES Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2011,5708.9,,12234
503,,,,,"Km 111+600 del derecho de vía del poliducto de 12""-10"" Ø Cadereyta-Reynosa-Brownsville",,,,,,,,,,,Combinación de procesos biológicos,"Servicios Ambiotrat, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado y bioventeo aerobio en el sitio contaminado,2014,28213.23,,62829
504,,,,,"Km 134+500 carretera federal No. 80 Tampico-Barra de Navidad, tramo Ojuelos-Lagos de Moreno",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,380.5,,342.4
505,,,,,Km 121+050 autopista Saltillo-Torreón,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,326.92,,425
507,Pasivo ambiental,Pemex Exploración y Producción,San_Luis_Potosí,Ebano,"Presa B del Pozo Limón 141, ubicado aproximadamente a 12.6 kilómetros al suroeste del municipio de Ébano",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,398.04,246.36,Si,-98.478,22.128,,,,,,2010,
508,Pasivo ambiental,Pemex Exploración y Producción,San_Luis_Potosí,Ebano,"Presa A del Pozo Limón 143, ubicado a 10 kilómetros al suroeste del municipio de Ébano",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,1073.81,1537.44,Si,-98.472,22.138,,,,,,2010,
509,,,,,Entronque entre libramiento norponiente y carretera a Tlacote El Bajo,,,,,,,,,,,Químicos,"Ecología 2000, S.A. de C.V.",Neutralización química a un lado del sitio contaminado,2010,844,,295.4
510,Pasivo ambiental,Pemex Exploración y Producción,San_Luis_Potosí,Ebano,"Presa A del Pozo Limón 135, ubicado aproximadamente a 11.8 kilómetros al suroeste del municipio de Ébano",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,1569.36,1548.57,Si,-98.475,22.134,,,,,,2010,
511,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Pánuco,"Presa A del Pozo Cacalilao 8, ubicado a 1.5 kilómetros al este de la colonia Las Margaritas",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,4329.89,3449.5,Si,-98.16,22.172,,,,,,2010,
512,Pasivo ambiental,Pemex Exploración y Producción,San_Luis_Potosí,Ebano,"Presa A del Pozo Limón 140, ubicada aproximadamente a 12 kilómetros al suroeste del municipio de Ébano",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,3605,3605,Si,-98.476,22.132,,,,,,2010,
513,Pasivo ambiental,Pemex Exploración y Producción,San_Luis_Potosí,Ebano,"Presa A del Pozo Limón 169, ubicada a 3 kilómetros al noroeste del Ejido Ampliación Tamapcoy",Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,307.64,486.19,No,-98.46,22.14,,,,,,2010,
514,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,Presas en el Sector Constituyentes y/u otros en el Activo Integral Poza Rica-Altamira,Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,472.48,732.72,No,-97.954,22.501,,,,,,2010,
516,,,,,Km 080+900 carretera Reynosa-Matamoros,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2010,408,,285.6
517,Pasivo ambiental,"Grupo Kuo, S.A.B. de C.V.",Querétaro,Pedro Escobedo,"Planta Transmisiones Tsp, ubicada en autopista México-Querétaro km 181.5 C.P. 76700 ",Derrames y/o fugas,Fabricación de partes de sistemas de transmisión para vehículos automotores,Fabricación de equipo de transporte,Solventes orgánicos,Solventes orgánicos,17,25.61,Si,-100.143,20.506,,,,,,2010,
518,Pasivo ambiental,Pemex Exploración y Producción ,Veracruz_de_Ignacio_de_la_Llave,Pánuco,"Presa S  1789, ubicada a 1.1 kilómetros al noreste del Cube de La Isleta",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,997,1365.44,No,-98.125,22.07,,,,,,2010,
519,Pasivo ambiental,Pemex Exploración y Producción ,Veracruz_de_Ignacio_de_la_Llave,Pánuco,"Presa A S  45, ubicada a 2.7 kilómetros al sureste de Villa Cacalilao",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,14723.85,10640.66,Si,-98.203,22.136,,,,,,2010,
520,Pasivo ambiental,Pemex Exploración y Producción ,Veracruz_de_Ignacio_de_la_Llave,Pánuco,"Presa A S  1783, ubicada a 0.5 kilómetros al oeste del Cube de La Isleta",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,1454.62,826.6,No,-98.129,22.061,,,,,,2010,
521,Pasivo ambiental,Pemex Exploración y Producción ,Veracruz_de_Ignacio_de_la_Llave,Pánuco,"Presa A del Pozo Paciencia 1018, ubicada a 3.3 kilómetros al norte de la Estación Méndez",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,508.96,475.51,No,-98.198,22.212,,,,,,2010,
522,Pasivo ambiental,"Grupo Celanese, S. de R.L. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Coatzacoalcos,"Predio ""Planta de Derivados de Aminas"", Calle 4 S  esquina Calle 7,  Complejo Industrial Pajaritos",Derrames y/o fugas,Fabricación de otros productos químicos básicos orgánicos,Industria química,Otros contaminantes no normados,Otros contaminantes no normados,45,45.6,Si,-94.389,18.11,,,,,,2010,
523,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,Presa A del Pozo Constituciones 227-D,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,13905,19736.58,Si,-97.936,22.445,,,,,,2010,
524,,,,,"Km 136+009 poliducto de 12""-10"" Ø Madero-Cadereyta, tramo González-Zaragoza",,,,,,,,,,,Disposición final,"Quimo Tech de México, S.A. de C.V. ",Disposición final fuera del sitio,2014,2.42,,0.29
525,,,,,"Km 447+149.24 poliducto de 12""-10"" Ø Madero-Cadereyta, tramo Linares-Cadereyta",,,,,,,,,,,Biológicos,"Servicios Ambiotrat, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2014,2114.19,,21141.99
526,,,,,"Km 173+500 camino nacional No. 190, México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,370,,370
527,,,,,"Km 187+350 camino nacional No. 37D carretera Uruapan-Lázaro Cárdenas, tramo Cuatro Caminos Las Cañas",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,610.52,,427.36
528,,,,,"Km 089+500 poliducto 12"" Ø Madero-Cadereyta, tramo Estación González-Manuel",,,,,,,,,,,Biológicos,"Servicios Ambiotrat, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2017,372.47,,2964.7
529,,,,,"Km 083+600 poliducto 12"" 10"" Ø Madero-Cadereyta, tramo Estación González-Manuel",,,,,,,,,,,Biológicos,"Servicios Ambiotrat, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2014,872.36,,3392.86
530,,,,,"Km 158+750 y 158+751 oleoducto de 24"" Ø Tres Hermanos-Madero Línea 1",,,,,,,,,,,Biológicos,N.E.I.,Biorremediación por biopilas a un lado del sitio contaminado,2013,3053.99,,7236.23
531,,,,,"Estación ferroviaria km 705+900 línea ""A"" Distrito Zacatecas, ubicado en calle Cinco Señores S , colonia Centro, C.P. 98000",,,,,,,,,,,Disposición final,"Germen, S.A. de C.V.",Disposición final fuera del sitio,2011,8.95,,3.2
532,,,,,"Km 097+300 carretera nacional No. 45 México-Ciudad Juárez, tramo Salamanca-Irapuato",,,,,,,,,,,Disposición final,"Germen, S.A. de C.V.",Disposición final fuera del sitio,2010,864.46,,124
533,,,,,"Km 127+000 carretera federal No. 54 Colima-Ciudad Mier, tramo Morelos-San Tiburcio",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,458.7,,229.35
534,,,,,"Carretera de San Pedro Tenayac rumbo a Zacazonapan, a la altura del Río Campanario",,,,,,,,,,,Disposición final,"Isali, S.A. de C.V.",Disposición final fuera del sitio,2010,68,,20.4
535,,,,,"Predio Las Margaritas, ubicado a un costado de la Base de Operaciones de Halliburton de México, S.A. de C.V., en la carretera Villahermosa-Reforma km 10.4",,,,,,,,,,,Térmicos,"Corporación de Ingeniería y Medio Ambiente, S.A. de C.V.",Co-procesamiento,2011,1501.93,,1462.35
536,Emergencia ambiental,Pemex Refinación,Tlaxcala,Calpulalpan,"Km 525+310 oleoducto de 30"" Ø Nuevo Teapa-Tula-Salamanca, tramo Nanacamilpa-Venta de Carpio en la comunidad la Soledad",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petróleo crudo,Hidrocarburos,21128.5,11652.32,Si,-98.618,19.563,,,,,,2010,
537,,,,,Km 027+300 carretera federal Tula-Jorobas,,,,,,,,,,,Disposición final,"Ingeniería Ecológica del Sureste, S.A. de C.V.",Disposición final fuera del sitio,2010,305,,122
538,,,,,Entronque crucero avenida Tecnológico y libramiento norte,,,,,,,,,,,Combinación de procesos biológicos-disposición final,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado y disposición final fuera del sitio,2010,378,,88
539,Emergencia ambiental,"Transportes Hernie, S.A. de C.V.",Puebla,Xicotepec,"Km 131+100 carretera nacional No. 130, Pachuca-Tuxpan",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,2410,160,Si,-97.942,20.346,,,,,,2010,
540,Emergencia ambiental,"Servicio Gofusa, S.A. de C.V.",Sonora,Guaymas,"Estación de Servicio 3949, Boulevard Benito Juárez No. 744, colonia Las Villas",Derrame,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Petrolíferos,Hidrocarburos,1991,3883,Si,-110.914,27.919,,,,,,2010,
541,,,,,"Km 063+500 camino nacional No. 83 Zaragoza-Victoria, tramo Zaragoza-Victoria",,,,,,,,,,,Combinación de procesos biológicos-disposición final,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado y disposición final fuera del sitio,2010,458,,127
542,,,,,Km 136+800 y km 138+300 carretera nacional No. 130 Pachuca Tuxpan,,,,,,,,,,,Disposición final,"Isali, S.A. de C.V.",Disposición final fuera del sitio,2011,112.5,,45
543,Emergencia ambiental,"Excellence Freights de México, S.A. de C.V.",San_Luis_Potosí,Matehuala,"Km 151+900 carretera nacional No. 57 México-Piedras Negras, tramo el retorno a San Luis Potosí-Matehuala",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petroquímicos,Hidrocarburos,8.64,17.28,Si,-100.61,23.664,,,,,,2010,
544,Emergencia ambiental,Pemex Refinación,Hidalgo,Tepeji del Río de Ocampo,"Km 025+300 poliducto de 16"" Ø Tula-Toluca, en la comunidad del Zapote ",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,12230.275,17535.95,Si,-99.425,19.965,,,,,,2010,
545,,,,,"Km 138+500 carretera federal No. 57 México-Piedras Negras, tramo San Luis Potosí-límite estado de Guanajuato",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2010,240.8,,36.12
546,,,,,"Km 135+700 autopista No. 180D Kantunil-Cancún, tramo Mérida-Valladolid",,,,,,,,,,,Disposición final,"Isali, S.A. de C.V.",Disposición final fuera del sitio,2010,214,,93
547,,,,,Km 014+500 carretera La Paz-Pichilingue,,,,,,,,,,,Combinación de procesos biológicos-disposición final,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado y disposición final fuera del sitio,2011,3933.08,,1672.56
548,,,,,"Km 020+900 carretera federal No. 43 Morelia-Salamanca, tramo Morelia-La Cinta",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,282.69,,424
549,Pasivo ambiental,Pemex Exploración y Producción ,Veracruz_de_Ignacio_de_la_Llave,Pánuco,"Presa A del Pozo S  1314, ubicada a 6.8 kilómetros del municipio de Pánuco",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,548.07,252.59,Si,-98.203,22.119,,,,,,2010,
550,,,,,"Km 35 carretera estatal Paraíso-Aquiles Serdán, colonia Pénjamo, poblado Chiltepec",,,,,,,,,,,Disposición final,"Isali, S.A. de C.V.",Disposición final fuera del sitio,2011,387,,193.5
552,,,,,Km 026+850 carretera federal No. 14D Morelia-Pátzcuaro,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,804,,587.4
553,,,,,"Km 072+000 camino nacional No. 55 Palmillas-Axixintla, tramo San Sebastián-Atlacomulco",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,836,,530.5
554,,,,,"Km 047+700 carretera No. 200, tramo Acapulco-Las Salinas",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,511,,332.15
555,,,,,Km 020+360 autopista Zapotlanejo-Guadalajara,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2010,2479,,304
556,,,,,"Km 194+800 carretera Chihuahua-Hermosillo, tramo La Junta-Tomochi",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2010,279,,110
557,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,Presa B del Pozo Constituciones 321,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,585.09,1948.41,Si,-97.925,22.518,,,,,,2010,
558,,,,,Km 307+750 autopista Kantunil-Cancún,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,486.46,,340.52
559,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Pánuco,"Fracción A, al noroeste de la Villa Cacalilao",Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,6694.16,4114.23,No,-98.155,22.187,,,,,,2010,
560,,,,,"Km 027+300 carretera federal No. 87, tramo Jorobas-Tula",,,,,,,,,,,Combinación de procesos biológicos-disposición final,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado y disposición final fuera del sitio,2011,1621.86,,799.96
562,,,,,"Km 174+450 carretera federal No. 190, México-Ciudad Cuauhtémoc tramo El Camarón-Tehuantepec",,,,,,,,,,,Biológicos,"Ingeniería Ecológica del Sureste, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2011,87.5,,75.5
563,Emergencia ambiental,"Combustibles Ecológicos del Lerma, S.A. de C.V.",Michoacán_de_Ocampo,Tepalcatepec,"Km 259+500 carretera federal No. 120 Quiroga-Tepalcatepec, tramo Apatzingán-Tepalcatepec",Derrame,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Petrolíferos,Hidrocarburos,337.5,607.5,Si,-102.827,19.204,,,,,,2010,
564,Pasivo ambiental,"Crisa Libbey México, S. de R.L. de C.V.",Nuevo_León,Monterrey,"José María Vigil No. 400, colonia del Norte",Derrames y/o fugas,Fabricación de artículos de vidrio de uso doméstico,Fabricación de productos a base de minerales no metálicos,Metales,Metales y metaloides,2,4,Si,-100.304,25.708,,,,,,2010,
565,,,,,"Km 061+300 carretera federal No. 70 Oriente, entronque con la comunidad de Palo Alto",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,437.61,,437.61
566,,,,,"Km 219+400 camino nacional No. 185 Coatzacoalcos-Salina Cruz, tramo Matías Romero-La Ventosa",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,340.2,,598.88
567,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Pánuco,Presa A del pozo Azuara S  ubicada a 10.5 kilómetros al este de Pánuco ,Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,893.28,741.51,No,-98.083,22.067,,,,,,2010,
568,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Pánuco,"Presa a S  1459, ubicada a 3.6 kilómetros al oeste de la colonia Vega de Otates",Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,284.19,190.81,No,-98.063,22.085,,,,,,2010,
569,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Pánuco,"Área Epelco 1396, ubicada a 1.0 kilómetro al noreste de Tantoco",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,7352.38,4460.12,Si,-98.24,22.144,,,,,,2010,
570,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Pánuco,"Área Estación Águila No. 4, ubicada a 0.7 kilómetro de Canoas",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,11881.19,6445.55,Si,-98.149,22.173,,,,,,2010,
571,,,,,"Km 007+000 camino nacional No. 45 México-Ciudad Juárez, tramo libramiento Salamanca",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2010,2656,,470.42
572,,,,,"Km 200+000 carretera nacional México-Laredo, tramo Montemorelos-Linares",,,,,,,,,,,Químicos,"Ecología 2000, S.A. de C.V.",Neutralización química a un lado del sitio contaminado,2011,180,,182.55
574,,,,,"Calzada Ojo de Agua S , C.P. 94450",,,,,,,,,,,Combinación de procesos térmicos-disposición final,"Ingeniería y Servicios en Control Ambiental e Industrial, S.A. de C.V.",Co-procesamiento y disposición final fuera del sitio ,2013,14780,,24672
575,,,,,"Km 60 autopista Arco Norte, tramo Tula-carretera México-Querétaro",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,448.21,,268.92
576,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,"Presa A del Pozo Constituciones 527, ubicada a 0.5 kilómetros de la planta de bombeo por la brecha El Chocolate",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,1899.98,785.65,Si,-97.939,22.449,,,,,,2010,
577,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,"Presa A del Pozo Constituciones 11, ubicada a 1.0 kilómetro por la brecha El Chocolate",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,2467.99,1202.81,Si,-97.968,22.449,,,,,,2010,
578,Emergencia ambiental,"Lubricantes Juguer, S.A. de C.V.",Durango,Santiago Papasquiaro,Km 009+330 carretera Ciénega de Nuestra Señora-Santiago Papasquiaro,Derrame,"Comercio al por menor de aceites y grasas lubricantes, aditivos y similares para vehículos de motor","Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Hidrocarburos pesados,Hidrocarburos,203.5,50.88,Si,-106.263,25.04,,,,,,2010,
579,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Pánuco,"Pozo Chijol No. 54, Zona 2 Sección A, ubicada a 1.8 kilómetros al oeste de la Estación Chijol 17 y aproximadamente a 8.2 kilómetros de la Ciudad de Ébano",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,7365.55,11086.32,Si,-98.285,22.247,,,,,,2010,
580,,,,,"Km 204+200 carretera de cuota Puebla-Orizaba, entronque con carretera de cuota a Oaxaca",,,,,,,,,,,Biológicos,"Ingeniería Ecológica del Sureste, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2012,90,,15.3
